"temperature_C","pressure_kPa"
27.88,98.09
27.86,98.27
27.87,98.15
27.88,98.21
27.88,98.27
27.88,98.09
27.94,98.33
28.06,98.21
28.18,98.15
28.37,98.27
28.5,98.33
28.76,98.45
29.06,98.33
29.52,98.51
30.18,98.57
30.68,98.76
31.04,98.94
31.07,99.06
31.29,99.06
31.93,99.31
32.22,99.31
32.81,99.55
33.15,99.61
33.67,99.86
34.01,99.8
34.39,99.98
34.86,99.98
35.33,100.28
35.73,100.34
35.96,100.47
36.61,100.59
37.18,100.65
37.82,100.89
38.29,101.02
38.68,101.26
39.17,101.44
39.59,101.75
40.16,101.81
41.04,102.11
41.7,102.11
42.24,102.18
42.54,102.36
42.85,102.54
43.86,102.79
44.38,103.03
45.37,103.27
45.62,103.34
